Workbook: 2 worksheets. Cell values are tab-separated rows; "Formulas" lists formula cells by source (which can differ from the displayed value).

## Sheet: Torque Log — 1120 rows × 12 columns (A1:L1120)
Flanged Connections - Torque Verification Log											
							Date:  		9/1/2025		
							Location Name:  		DP-318		
							CHVERON PIC:  		SCOTT GREEN		
							Construction  Company:  		FORTRESS DS		
[2 empty rows]
Torque Wrench Number			Last Calibration Date			Calibration Certificates Submitted? (Y/N)			Note:  A marked up ISO Map with the associated Flange #'s as listed below must accompany this Torque Log when turned over to Noble.		
12511 5125 (30-250 LB)			6/25/2025			Yes					
12511 5155  (30-250 LB)			5/2/2025			Yes					
122360 O480 (100-600 LB)			5/1/2025			Yes					
10240 4463 (20-250 LB) 			6/25/2025			Yes			Total Flanges		718
032460 0808 (200-1000 LB)			2/4/2025			Yes			# of Flanges Inspected		205
0224900 0218 (50-250 LB)			12/4/2024			Yes			Inspection Percentage		28.6%
[2 empty rows]
ISO Flange #	ISO Number	Flange Pipe Size (in)	Bolt Diameter (in)	# of Bolts	Required Torque (ft-lbs)	Actual Torque (ft-lbs)	Wrench ID #	Torque Date	Employee Initials	Inspection Date	Inspector Initials
67	3-PG-2131102A-BCM	3" 300	3/4"	8	100-150	150	5125	9/29/2025	AG		
68	4-PW-2061102A-BCN	4" 300	3/4"	8	100-200	200	5155	9/29/2025	AG		
69	4-PW-2061102A-BCN	4" 300	3/4"	8	100-200	200	5155	9/29/2025	EC		
70	4-PW-2061102A-BCN	2"  300	5/8"	8	60-80	80	5155	9/29/2025	EC		
73	 4-VG-2111102A-ACM	4" 150	5/8"	8	70-120	120	5155	10/14/2025	EC		
74	 4-VG-2111102A-ACM	4" 150	5/8"	8	70-120	120	5155	10/14/2025	EC		
74.1	 6-PF-1001102A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC		
75	 6-PF-1001102A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC		
76	 6-PF-1001102A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC	3/25/2026	KK
77	 6-PF-1001102A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC		
78	 6-PF-1001102A-BCN	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC		
80	6-PG-2041102A-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC		
81	6-PG-2041102A-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC	3/25/2026	KK
82	6-PG-2041102A-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC		
83	6-PG-2041102A-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC	3/25/2026	KK
84	6-PG-2041102A-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	IG EC	3/25/2026	KK
85	6-PG-2041102A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	IG EC	3/25/2026	KK
86	6-PG-2041102A-BCM	2"  300	5/8"	8	60-80	80	5125	9/29/2025	IG EC	3/25/2026	KK
87	6-PG-2041102A-BCM	2"  300	5/8"	8	60-80	80	5125	9/29/2025	IG EC		
89	8-PF-1001102A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	EC		
90	8-PF-1001102A-BCN	2"  300	5/8"	8	60-80	80	5125	10/7/2025	JR		
91	8-PF-1001102A-BCN	2"  300	5/8"	8	60-80	80	5125	10/7/2025	JR		
92	8-PF-1001102A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	JR	3/25/2026	KK
93	8-PF-1001102A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	JR		
94	8-PF-1001102A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	JR	3/25/2026	KK
95	8-PF-1001102A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	JR		
96	8-PF-1001102A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	JR	3/25/2026	KK
97	8-PF-1001102A-BCN	8" 300	7/8"	12	180-320	320	0480	10/7/2025	JR		
98	8-PF-1001102A-BCN	6" 300	3/4"	12	110-200	320	5125	10/7/2025	JR	3/25/2026	KK
99	8-PF-1001102A-BCN	6" 300	3/4"	12	110-200		5125	10/7/2025	JR	3/25/2026	KK
100	8-PF-1001102A-BCN	3" 300	3/4"	8	100-150	150	5125	10/7/2025	JR		
101	8-PF-1001102A-BCN	3" 300	3/4"	8	100-150	150	5125	10/7/2025	JR		
102	8-PF-1001102A-BCN	3" 300	3/4"	8	100-150	150	5125	10/7/2025	JR		
103	8-PF-1001102A-BCN	3" 300	3/4"	8	100-150	150	5125	10/7/2025	JR		
104	2-PF-2031102B-DCN	2"  1500	7/8"	8	130-190	190	0218	10/8/2025	JR		
105	3-PF-2051102B-BCM	2"  300	5/8"	8	60-80	80	0218	10/8/2025	AN	3/25/2026	KK
106	3-PF-2051102B-BCM	3" 300	3/4"	8	100-150	150	0218	10/8/2025	AN	3/25/2026	KK
107	3-PF-2051102B-BCM	3" 300	3/4"	8	100-150	150	0218	10/8/2025	AN	3/25/2026	KK
108	3-PG-2131102B-BCM	6" 300	3/4"	12	110-200		0218	10/8/2025	AN		
109	3-PG-2131102B-BCM	3" 300	3/4"	8	100-150	150	0218	10/8/2025	AN		
110	3-PG-2131102B-BCM	3" 300	3/4"	8	100-150	150	0218	10/8/2025	AN	3/25/2026	KK
111	4-PW-2061102B-BCN	2"  300	5/8"	8	60-80	80	0218	10/9/2025	AN		
112	4-PW-2061102B-BCN	4" 300	3/4"	8	100-200	200	0218	10/14/2025	AN		
113	4-PW-2061102B-BCN	4" 300	3/4"	8	100-200	200	5125	10/14/2025	AN	3/25/2026	KK
114	4-VG-2111102B-ACM	4" 150	5/8"	8	70-120	120	5125	10/14/2025	AN	3/25/2026	KK
115	4-VG-2111102B-ACM	4" 150	5/8"	8	70-120	120	5125	9/29/2025	AN	3/25/2026	KK
116	6-PF-1001102B-BCN	6" 300	3/4"	12	110-200	200	5125	9/29/2025	AN	3/25/2026	KK
117	6-PF-1001102B-BCN	6" 300	3/4"	12	110-200	200	5125	9/29/2025	AN		
118	6-PG-2041102B-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	AN		
119	6-PG-2041102B-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	AN	3/25/2026	KK
120	6-PG-2041102B-BCM	6" 300	3/4"	12	110-200	200	5155	9/29/2025	AN		
121	6-PG-2041102B-BCM	6" 300	3/4"	12	110-200	200	5155	10/14/2025	AN		
122	6-PG-2041102B-BCM	2"  300	5/8"	8	60-80	80	5155	10/14/2025	AN		
123	6-PG-2041102B-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	AN		
124	6-PG-2041102B-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	AN		
219	 2-PF-2031103A-DCN	2" 1500	7/8"	8	130-260	260	5155	9/29/2025	AN		
220	2-PG-2131103A-BCM	4" 300	3/4"	8	100-200	200	5155	9/29/2025	AN		
221	2-PG-2131103A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	AN		
222	2-PG-2131103A-BCM	2"  300	5/8"	8	60-80	80	5155	9/29/2025	AN		
223	2-VG-2111103A-ACM	2" 150	5/8"	4	60-120	120	5155	9/29/2025	AN		
224	2-VG-2111103A-ACM	2" 150	5/8"	4	60-120	120	5155	9/29/2025	AN		
225	3-PF-2051103A-BCM	3" 300	3/4"	8	100-150	150	5155	9/29/2025	AN	3/25/2026	KK
226	3-PF-2051103A-BCM	3" 300	3/4"	8	100-150	150	5155	9/29/2025	EC		
227	3-PF-2051103A-BCM	3" 300	3/4"	8	100-150	150	5155	9/29/2025	EC	3/25/2026	KK
228	4-PW-2061103A-BCN	4" 300	3/4"	8	100-200	200	5125	9/29/2025	EC		
229	4-PW-2061103A-BCN	4" 300	3/4"	8	100-200	200	5125	9/29/2025	EC		
230	4-PW-2061103A-BCN	4" 300	3/4"	8	100-200	200	5125	10/7/2025	EC		
230.1	6-PF-1001103A-BCN	6" 300	3/4"	12	110-200	200	5125	10/7/2025	EC		
231	6-PF-1001103A-BCN	6" 300	3/4"	12	110-200	200	5125	10/7/2025	EC		
232	6-PF-1001103A-BCN	6" 300	3/4"	12	110-200	200	5125	10/7/2025	EC		
233	6-PG-2041103A-BCM	6" 300	3/4"	12	110-200	200	5155	10/15/2025	EC	3/25/2026	KK
234	6-PG-2041103A-BCM	6" 300	3/4"	12	110-200	200	5155	10/15/2025	EC	3/25/2026	KK
235	6-PG-2041103A-BCM	6" 300	3/4"	12	110-200	200	5155	10/15/2025	AN	3/25/2026	KK
235.1	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	AN	3/25/2026	KK
236	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	AN		
236.1	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	AN		
237	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	AN	3/25/2026	KK
238	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	AN		
239	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	JR		
240	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	JR		
241	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	JR		
242	8-PF-1001103A-BCN	8" 300	 7/8	12	180-320	320	0480	10/7/2025	JR		
243	8-PF-1001103A-BCN	6" 300	3/4"	12	110-200	200	0719	10/7/2025	IG EC	3/25/2026	KK
244	8-PF-1001103A-BCN	6" 300	3/4"	12	110-200	200	0719	10/7/2025	IG EC	3/25/2026	KK
245	8-PF-1001103A-BCN	3" 300	 3/4	8	100-150	150	0218	10/7/2025	IG EC		
246	8-PF-1001103A-BCN	3" 300	 3/4	8	100-150	150	0218	10/7/2025	IG EC		
247	8-PF-1001103A-BCN	3" 300	 3/4	8	100-150	150	0218	10/7/2025	IG EC		
248	8-PF-1001103A-BCN	3" 300	 3/4	8	100-150	150	0218	10/7/2025	IG EC		
249	2-PF-2031103B-DCN	2" 1500	7/8"	8	130-260	260	0719	10/7/2025	IG EC	3/25/2026	KK
250	2-PG-2131103B-BCM	4" 300	 3/4	8	100-200	200	5125	10/23/2025	IG EC	3/25/2026	KK
251	2-PG-2131103B-BCM	2"  300	5/8"	8	60-80	80	5155	10/23/2025	IG EC	3/25/2026	KK
252	2-PG-2131103B-BCM	2"  300	5/8"	8	60-80	80	5155	10/23/2025	IG EC		
253	2-VG-2111103B-ACM	2" 150	5/8"	4	60-120	120	0719	10/23/2025	IG EC		
254	2-VG-2111103B-ACM	2" 150	5/8"	4	60-120	120	0719	10/23/2025	IG EC		
255	3-PF-2051103B-BCM	3" 300	 3/4	8	100-150	150	0218	10/9/2025	IG EC		
256	3-PF-2051103B-BCM	3" 300	 3/4	8	100-150	150	0218	10/9/2025	IG EC	3/25/2026	KK
257	3-PF-2051103B-BCM	3" 300	 3/4	8	100-150	150	0218	10/9/2025	IG EC	3/25/2026	KK
258	4-PW-2061103B-BCN	4" 300	 3/4	8	100-200	200	0719	10/9/2025	IG EC	3/25/2026	KK
259	4-PW-2061103B-BCN	4" 300	 3/4	8	100-200	200	0719	10/9/2025	IG EC	3/25/2026	KK
260	4-PW-2061103B-BCN	4" 300	 3/4	8	100-200	200	0719	10/9/2025	IG EC	3/25/2026	KK
260.1	6-PF-1001103B-BCN	6" 300	3/4"	12	110-200	200	0719	10/20/2025	IG EC	3/25/2026	KK
261	6-PF-1001103B-BCN	6" 300	3/4"	12	110-200	200	0719	10/20/2025	IG EC		
262	6-PF-1001103B-BCN	6" 300	3/4"	12	110-200	200	0719	10/20/2025	IG EC		
263	6-PG-2041103B-BCM	6" 300	3/4"	12	110-200	200	0719	10/20/2025	IG EC		
263.1	6-PG-2041103B-BCM	6" 300	3/4"	12	110-200	200	0719	10/20/2025	IG EC		
264	6-PG-2041103B-BCM	6" 300	3/4"	12	110-200	200	0719	10/20/2025	IG EC		
266	 2-IA-92202-ACM	2" 150	5/8"	4	60-120	120	0719	10/20/2025	AN		
267	 2-IA-92202-ACM	2" 150	5/8"	4	60-120	120	0719	10/20/2025	AN		
268	 2-IA-92202-ACM	2" 150	5/8"	4	60-120	120	5155	10/20/2025	AN		
269	 2-IA-92202-ACM	2" 150	5/8"	4	60-120	120	5155	10/20/2025	AN		
270	2-PF-21024-DCL	2" 1500	7/8"	8	130-190	190	5155	10/20/2025	AN		
271	2-VG-92151-ACM	2" 150	5/8"	4	60-120	120	5155	10/20/2025	AN		
271.1	2-PF-21024-DCL	2" 600 	5/8"	8	60-80	80	5155	10/20/2025	AN		
273	 3-PF-63208-BCM	3" 300	3/4"	8	100-150	150	5155	10/30/2025	IG EC		
273.1	 3-PF-63208-BCM	3" 300	3/4"	8	100-150	150	5155	10/30/2025	IG EC		
274	 3-PF-63208-BCM	3" 300	3/4"	8	100-150	150	5155	10/30/2025	IG EC		
275	 3-PF-63208-BCM	3" 300	3/4"	8	100-150	150	5155	10/30/2025	IG EC	3/25/2026	KK
276	 3-PF-63208-BCM	3" 300	3/4"	8	100-150	150	5155	10/30/2025	IG EC	3/25/2026	KK
277	 3-PF-63208-BCM	4" 300	3/4"	8	100-200	200	5155	10/30/2025	IG EC	3/25/2026	KK
278	 3-PF-63208-BCM	4" 300	3/4"	8	100-200	200	5155	10/30/2025	IG EC	3/25/2026	KK
279	3-PF-63209-ACM	3" 150	 5/8	4	90-120	120	5155	10/31/2025	IG EC	3/25/2026	KK
280	3-PF-63209-ACM	3" 150	 5/8	4	90-120	120	5155	10/31/2025	IG EC	3/25/2026	KK
281	3-PF-63209-ACM	3" 150	 5/8	4	90-120	120	5155	10/31/2025	IG EC	3/25/2026	KK
282	3-PF-63209-ACM	3" 150	 5/8	4	90-120	120	5155	10/31/2025	IG EC	3/25/2026	KK
